Time,Location,Machine,Shift,Product,Planned Production Time,Available Machine Time,Running Time,Fault Time,Blocked Time,Starved Time,Setup Time,Micro Stops,Minor Stops,Major Stops,MTBF,MTTR,Availability,Performance,Quality,OEE,Total Good Parts,Total Waste Parts,Ideal Production Time,Lost Time Slow Running,Lost Time Slow Running %
29/03/2026 06:59,Desford,Setter,A Shift Days,WORRM,3548,3442,2310,237,90,16,0,10,0,2,1155,118,67.11,71.91,1,48.26,16128,0,1661.18,648.82,28.09
30/03/2026 05:59,Desford,Setter,B Shift Nights,WORRM,36233,34631,22145,5040,596,1006,0,88,0,20,1107,252,63.95,60.01,1,38.37,129024,0,13289.47,8855.53,39.99
30/03/2026 17:59,Desford,Setter,A Shift Days,WORRM,38022,37221,23988,3890,545,256,0,90,0,11,2180,353,64.45,64.06,1,41.28,149184,0,15365.95,8622.05,35.94
31/03/2026 05:59,Desford,Setter,B Shift Nights,WORRM,38060,36595,24329,3939,943,522,0,109,0,21,1158,187,66.48,64.87,1,43.12,153216,0,15781.25,8547.75,35.13
31/03/2026 17:59,Desford,Setter,A Shift Days,WORRM,38178,37600,28993,4223,193,385,0,66,0,8,3624,527,77.11,31.51,1,24.3,88704,0,9136.51,19856.49,68.49
01/04/2026 05:59,Desford,Setter,B Shift Nights,WORRM,39570,38091,30870,489,224,1255,0,84,0,4,7717,122,81.04,48.43,1,39.25,145152,0,14950.66,15919.34,51.57
01/04/2026 17:59,Desford,Setter,C Shift Days,WORRM,39571,38750,31640,1257,319,502,0,94,0,2,15820,628,81.65,49.88,1,40.73,153216,0,15781.25,15858.75,50.12
02/04/2026 05:59,Desford,Setter,D Shift Nights,16,39558,38102,29892,1335,505,951,0,111,0,10,2989,133,78.45,50.02,1,39.24,145152,0,14950.66,14941.34,49.98
02/04/2026 17:59,Desford,Setter,C Shift Days,16,39559,34657,25339,1288,311,4591,0,98,0,8,3167,161,73.11,42.61,1,31.16,104832,0,10797.7,14541.3,57.39
03/04/2026 05:59,Desford,Setter,D Shift Nights,16,39560,32713,20949,3307,875,5972,0,130,0,13,1611,254,64.04,81.28,1,52.05,165312,0,17027.14,3921.86,18.72
03/04/2026 17:59,Desford,Setter,C Shift Days,16,39561,38086,22178,1341,511,964,0,92,0,11,2016,121,58.23,76.77,1,44.71,165312,0,17027.14,5150.86,23.23
04/04/2026 05:59,Desford,Setter,D Shift Nights,16,39563,38657,26271,3113,379,527,0,116,0,16,1641,194,67.96,64.81,1,44.05,165312,0,17027.14,9243.86,35.19
04/04/2026 17:59,Desford,Setter,C Shift Days,16,39565,34626,25013,1003,415,4524,0,120,0,4,6253,250,72.24,68.07,1,49.17,165312,0,17027.14,7985.86,31.93
05/04/2026 05:59,Desford,Setter,D Shift Nights,17,39567,38478,26113,882,502,587,0,136,0,10,2611,88,67.86,74.75,1,50.73,189504,0,19518.91,6594.09,25.25
05/04/2026 17:59,Desford,Setter,B Shift Days,17,39569,32879,19109,2281,1055,5635,0,88,0,9,2123,253,58.12,76.07,1,44.21,141120,0,14535.36,4573.64,23.93
06/04/2026 05:59,Desford,Setter,A Shift Nights,17,39571,30504,22444,550,670,8397,0,106,0,3,7481,183,73.58,66.61,1,49.01,145152,0,14950.66,7493.34,33.39
06/04/2026 17:59,Desford,Setter,B Shift Days,17,39571,34430,23412,274,994,4147,0,113,0,6,3902,45,68,72.73,1,49.45,165312,0,17027.14,6384.86,27.27
07/04/2026 05:59,Desford,Setter,A Shift Nights,17,39575,38032,25295,6299,573,970,0,106,0,16,1580,393,66.51,59.11,1,39.31,145152,0,14950.66,10344.34,40.89
